PARTITION AVAIL JOB_SIZE  TIMELIMIT   CPUS  S:C:T   NODES STATE      NODELIST
debug     up    1-4           30:00    24+ 1+:12+       7 allocated  nid0[0448-0449,3509,4276-4279]
debug     up    1-4           30:00    24+ 1+:12+       9 idle       nid0[0008-0011,0450-0451,3508,3510-3511]
xfer      up    1        1-00:00:00      6  6:1:1       2 drained    nordend0[3-4]
uftp      up    1        1-00:00:00      0  0:0:0       0 n/a        
cscsci    up    1        1-00:00:00     72 2:18:2       2 down$      nid0[0269,1196]
cscsci    up    1        1-00:00:00    24+ 1+:12+       8 drained$   nid0[0149,0363,0905,1341,1356,2461,3005,3301]
cscsci    up    1        1-00:00:00     24 1:12:2       1 mixed$     nid05424
cscsci    up    1        1-00:00:00     72 2:18:2       5 maint      nid0[0240,0377,0999,1155,1642]
cscsci    up    1        1-00:00:00     72 2:18:2       3 completing nid0[1184,1419,1545]
cscsci    up    1        1-00:00:00    24+ 1+:12+      11 reserved   nid0[1536,1543-1544,1608,1610,1934,2005-2007,6912,7638]
cscsci    up    1        1-00:00:00    24+ 1+:12+    6407 allocated  nid0[0004-0007,0012-0024,0026-0062,0064-0065,0128-0148,0150-0190,0192-0195,0200-0219,0270-0318,0320-0323,0328-0343,0364-0376,0426-0446,0568-0574,0576-0579,0584-0605,0744-0751,0906-0958,0960-0963,0968-0979,0996-0998,1000-1022,1028-1047,1071-1086,1088-1150,1152-1154,1180-1183,1188-1192,1194-1195,1197-1200,1223-1260,1262-1278,1280-1284,1286-1340,1342-1355,1376-1418,1420-1535,1537-1542,1546-1556,1563-1582,1604-1607,1609,1611-1641,1643-1651,1928-1933,1935,1940-1967,1973-2004,2008-2059,2068-2123,2126-2214,2217-2304,2314,2317-2319,2324-2351,2356-2374,2376-2378,2380-2383,2388-2415,2420-2460,2462-2543,2545-2654,2692-2703,2708-2735,2740-3004,3006-3087,3092-3112,3125-3300,3302-3397,3399-3471,3476-3503,3512-3855,3860-3887,3892-4037,4039-4239,4244-4271,4292-4492,4494-4694,4696-4747,4749-4886,4888-5423,5425-6003,6008-6135,6138-6405,6407-6515,6517-6830,6835-6911,6913-7162,7173-7176,7180-7210,7220-7277,7283-7516,7519-7637,7639-7679]
cscsci    up    1        1-00:00:00    24+ 1+:12+     827 idle       nid0[0025,0066-0067,0072-0126,0220-0239,0241-0254,0260-0268,0344-0362,0378-0382,0388-0425,0456-0510,0516-0567,0606-0638,0644-0702,0704-0707,0712-0743,0752-0766,0772-0830,0832-0835,0840-0894,0900-0904,0980-0995,1048-1070,1156-1179,1185-1187,1193,1201-1214,1216-1222,1357-1375,1557-1562,1583-1603,1652-1670,2060-2067,2124-2125,2215-2216,2305-2313,2315-2316,2375,2379,2384-2387,2416-2419,2544,2655-2691,3113-3119,3124,3398,4038,4280-4291,4493,4695,4748,4887,6004-6007,6136-6137,6406,6516,6831-6834,7163-7172,7177-7179,7211-7219,7278-7282,7517-7518]
long      up    1-513    7-00:00:00     72 2:18:2       2 down$      nid0[0269,1196]
long      up    1-513    7-00:00:00    24+ 1+:12+       8 drained$   nid0[0149,0363,0905,1341,1356,2461,3005,3301]
long      up    1-513    7-00:00:00     24 1:12:2       1 mixed$     nid05424
long      up    1-513    7-00:00:00     72 2:18:2       5 maint      nid0[0240,0377,0999,1155,1642]
long      up    1-513    7-00:00:00     72 2:18:2       3 completing nid0[1184,1419,1545]
long      up    1-513    7-00:00:00    24+ 1+:12+      11 reserved   nid0[1536,1543-1544,1608,1610,1934,2005-2007,6912,7638]
long      up    1-513    7-00:00:00    24+ 1+:12+    6409 allocated  nid0[0004-0007,0012-0024,0026-0062,0064-0065,0128-0148,0150-0190,0192-0195,0200-0219,0270-0318,0320-0323,0328-0343,0364-0376,0426-0446,0568-0574,0576-0579,0584-0605,0744-0751,0906-0958,0960-0963,0968-0979,0996-0998,1000-1022,1028-1047,1071-1086,1088-1150,1152-1154,1180-1183,1188-1192,1194-1195,1197-1200,1223-1278,1280-1340,1342-1355,1376-1418,1420-1535,1537-1542,1546-1556,1563-1582,1604-1607,1609,1611-1641,1643-1651,1928-1933,1935,1940-1967,1973-2004,2008-2059,2068-2123,2126-2214,2217-2304,2314,2317-2319,2324-2351,2356-2374,2376-2378,2380-2383,2388-2415,2420-2460,2462-2543,2545-2654,2692-2703,2708-2735,2740-3004,3006-3087,3092-3112,3125-3300,3302-3397,3399-3471,3476-3503,3512-3855,3860-3887,3892-4037,4039-4239,4244-4271,4292-4492,4494-4694,4696-4747,4749-4886,4888-5423,5425-6003,6008-6135,6138-6405,6407-6515,6517-6830,6835-6911,6913-7162,7173-7176,7180-7210,7220-7277,7283-7516,7519-7637,7639-7679]
long      up    1-513    7-00:00:00    24+ 1+:12+     825 idle       nid0[0066-0067,0072-0126,0220-0239,0241-0254,0260-0268,0344-0362,0378-0382,0388-0425,0456-0510,0516-0567,0606-0638,0644-0702,0704-0707,0712-0743,0752-0766,0772-0830,0832-0835,0840-0894,0900-0904,0980-0995,1048-1070,1156-1179,1185-1187,1201-1214,1216-1222,1357-1375,1557-1562,1583-1603,1652-1670,2060-2067,2124-2125,2215-2216,2305-2313,2315-2316,2375,2379,2384-2387,2416-2419,2544,2655-2691,3113-3119,3124,3398,4038,4280-4291,4493,4695,4748,4887,6004-6007,6136-6137,6406,6516,6831-6834,7163-7172,7177-7179,7211-7219,7278-7282,7517-7518]
normal*   up    1-2400   1-00:00:00     72 2:18:2       2 down$      nid0[0269,1196]
normal*   up    1-2400   1-00:00:00    24+ 1+:12+       8 drained$   nid0[0149,0363,0905,1341,1356,2461,3005,3301]
normal*   up    1-2400   1-00:00:00     24 1:12:2       1 mixed$     nid05424
normal*   up    1-2400   1-00:00:00     72 2:18:2       5 maint      nid0[0240,0377,0999,1155,1642]
normal*   up    1-2400   1-00:00:00     72 2:18:2       3 completing nid0[1184,1419,1545]
normal*   up    1-2400   1-00:00:00    24+ 1+:12+      11 reserved   nid0[1536,1543-1544,1608,1610,1934,2005-2007,6912,7638]
normal*   up    1-2400   1-00:00:00    24+ 1+:12+    6409 allocated  nid0[0004-0007,0012-0024,0026-0062,0064-0065,0128-0148,0150-0190,0192-0195,0200-0219,0270-0318,0320-0323,0328-0343,0364-0376,0426-0446,0568-0574,0576-0579,0584-0605,0744-0751,0906-0958,0960-0963,0968-0979,0996-0998,1000-1022,1028-1047,1071-1086,1088-1150,1152-1154,1180-1183,1188-1192,1194-1195,1197-1200,1223-1278,1280-1340,1342-1355,1376-1418,1420-1535,1537-1542,1546-1556,1563-1582,1604-1607,1609,1611-1641,1643-1651,1928-1933,1935,1940-1967,1973-2004,2008-2059,2068-2123,2126-2214,2217-2304,2314,2317-2319,2324-2351,2356-2374,2376-2378,2380-2383,2388-2415,2420-2460,2462-2543,2545-2654,2692-2703,2708-2735,2740-3004,3006-3087,3092-3112,3125-3300,3302-3397,3399-3471,3476-3503,3512-3855,3860-3887,3892-4037,4039-4239,4244-4271,4292-4492,4494-4694,4696-4747,4749-4886,4888-5423,5425-6003,6008-6135,6138-6405,6407-6515,6517-6830,6835-6911,6913-7162,7173-7176,7180-7210,7220-7277,7283-7516,7519-7637,7639-7679]
